Author,Book,School District,State,IN P DOC,Notes,"Challenge/Complaint Status

",Status,"Status Notes - See ""By School District"" Tab for More Detail",Details of Restriction,Where Did I find the book or discover the resource,Have You Read Or Examined the Entire Resource,Location in School District,Published,# Copies Total In District,Date Challenged,clustered_book
"Myracle, Lauren","l8r, g8r",Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,,"l8r, g8r"
"Myracle, Lauren","l8r, g8r",Francis Howell,Missouri,yes,,Formal Challenge Filed,Banned due to not fitting with current selection preoceses,Doesn't fit current aquisitions and also runs counter to district curriculum on teaching sex ed,,,,,,,,"l8r, g8r"
"Myracle, Lauren","l8r, g8r",Littlestown Area School District,Pennsylvania,n/a,Challenged for obscventiy and or mature content,Formal Challenge Filed,Did not violate standards - should remain on shelf - challenger appealled,,,,,,,,,"l8r, g8r"
"Myracle, Lauren","l8r, g8r",St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,,"l8r, g8r"
"Myracle, Lauren","l8r, g8r",Fredericksburg ISD,Texas,yes,,Formal Challenge Filed Maybe?,"Removed - ""Pervasely Vulgar""",,,,,,,,,"l8r, g8r"
"Myracle, Lauren","l8r, g8r",Nampa School District,Idaho,yes,"committee recommended further review, not immediate censorship",Informal Challenge,banned,,,,,,,,,"l8r, g8r"
"Myracle, Lauren","L8R, G8R",Canyons School District,Utah,yes,parent emailed complaint - books pulled,no,Removed While Under Review,violation of policy,,,,,,,,"l8r, g8r"
"Myracle, Lauren","L8R, G8R",Carmel  Clay Schools,Indiana,yes,"We'll call this the ""third way"" schools can choose to deal with troublesome books. I'd love to see the advisory committee notes on these decisions. BUT IS THIS SOMETHING YOU WANT COUNTED. ",no,removed,"Removed due to ""age and lack of interest from students""",,,,,,,,"l8r, g8r"
"Myracle, Lauren","L8r, G8r",Forsyth County Schools,Georgia,yes,Parents complained - but did not file formal complaints,No,"Removed ""administratively""",1/31/22 Removed from all FCS schools indefinitively,,"""pervasively vulgar"" ",,,,1,,"l8r, g8r"
"Myracle, Lauren","L8r, G8r",Collier County Public Schools,Florida,TBD,FLCA,No Challenge Filed,Parental Advisory label added in Feb 2022,January 2022,,,,,,,,"l8r, g8r"
"Myracle, Lauren","l8r, G8r",Cypress-Fairbanks,Texas,yes,1/2022,No Challenge Filed,Restricted,Saw it was happening at other districts,Restricted to HIgh School Only,,,,,,,"l8r, g8r"
"Myracle, Lauren","l8r, g8r",Pinellas School District,Florida,,2022-23 school year,"Reviewed in ""normal"" process",recommended for removal - individual book status left to principals,,,,,,,,,"l8r, g8r"
"Myracle, Lauren","l8r, g8r",Gladwin Community Schools,Michigan,,,Unknown,pulled from shelves per M4L,,,,,,,,,"l8r, g8r"
"Myracle, Lauren","L8r, G8r",Birdville,Texas,yes,,yes,Status of Book Unknown,11/21 - acknowledged complaint,,social media,no,,,,,"l8r, g8r"
"Myracle, Lauren","L8R, G8R",Keller,Texas,yes,"New addition to challenge website: ""Book Challenge committee decisions to keep books in a library do not authorize future purchases of the book(s)",yes,banned,No longer in district/campus circulation 11/18/21,,,yes,,,,,"l8r, g8r"
"Myracle, Lauren","L8r, G8r",Northside,Texas,,"""explicit sexual descriptions""",,,,,,,,,,,"l8r, g8r"
"Blake, Ashley
 Herrin","La carta de Ivy Aberdeen al
 mundo",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2018,2,,"La carta de Ivy Aberdeen al
 mundo"
"Basso, Michael J.",La guia esencial sobre sexualidad adolescente : un manual indispensable para los adolescentes y padres,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,La guia esencial sobre sexualidad adolescente : un manual indispensable para los adolescentes y padres
"Bell, William",La tormenta,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2009,1,,La tormenta
"Córdova, Zoraida",Labyrinth Lost (Brooklyn Brujas Series),Tennessee,Collierville Schools,Yes,TWO,no challenge,back on shelves probably,,,,,,,,,Labyrinth Lost (Brooklyn Brujas Series)
"Faruqi, Reem",Lailah's Lunchbox,Duval County Public Schools,Florida,yes,1/20/22,No Challenge Filed,In storage until review was complete,,,,,,,,,Lailah's Lunchbox
"Bray, Libba",Lair of Dreams (The Diviners Series),Tennessee,Collierville Schools,Yes,ONE,no challenge,back on shelves probably,,,,,,,,,Lair of Dreams (The Diviners Series)
"Lo, Malinda",Last Night at the Telegraph Club,Brevard County Public Schools,Florida,yes,List 3,End run around challenge process,in quarentine,challenged awaiting review,,,,,,,,Last Night at the Telegraph Club
"Lo, Malinda",Last Night at the Telegraph Club,Fauquier County Public Schools,Virgina,n/a,,Formal Challenge Filed,probably on shelves,,,,,,,,,Last Night at the Telegraph Club
"Lo, Malinda",Last Night at the Telegraph Club,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,,Last Night at the Telegraph Club
"Lo, Malinda",Last night at the Telegraph Club,Fauquier County Public Schools,Virgina,n/a,,Informal Challenge,probably on shelves,,,,,,,,,Last Night at the Telegraph Club
"Lo, Malinda",Last Night at the Telegraph Club,Tennessee,Collierville Schools,Yes,THREE,no challenge,back on shelves probably,,,,,,,,,Last Night at the Telegraph Club
"Lo, Malinda",Last Night at the Telegraph Club,Keller,Texas,n/a,"New addition to challenge website: ""Book Challenge committee decisions to keep books in a library do not authorize future purchases of the book(s)",yes,retained,Challenger did not attend the meeting. The committee unanimously agreed to keep the book in its current location,,Challenge originated: Parent,yes,,,,11/4/21,Last Night at the Telegraph Club
"de la Pena, Matt",Last Stop on Market Street,Central York,Pennsylvania,yes,September 2021,No Challenge Filed,Pulled and returned to shelves after national outcry,Against policy,,,,,,,,Last Stop on Market Street
"Quindlen, Kelly",Late to the Party,Tennessee,Collierville Schools,Yes,THREE,no challenge,back on shelves probably,,,,,,,,,Late to the Party
"Quindlen, Kelly",Late to the party,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2020,1,,Late to the Party
"Tamaki, Mariko","Laura Dean Keeps Breaking
 Up With Me",North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2019,7,,Laura Dean Keeps Breaking Up With Me
Marino Tamaki,Laura Dean Keeps Breaking Up with Me,Davis School District,Utah,n/a,,Formal Challenge Filed,On shelves during process,,,,,,,,,Laura Dean Keeps Breaking Up With Me
"Tamaki, Mariko",Laura Dean Keeps Breaking Up With Me,St. Johns County School District,Florida,n/a,4/22,Formal Challenge Filed,Location Unknown,,,,,,,,,Laura Dean Keeps Breaking Up With Me
"Tamaki, Mariko",Laura Dean Keeps Breaking Up With Me,Leander,Texas,,20.21 Leander Curr Review RESULTs for 21.22,yes,Retained,,,,,,,,,Laura Dean Keeps Breaking Up With Me
"Tamaki, Mariko",Laura Dean Keeps Breaking Up With Me,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,Laura Dean Keeps Breaking Up With Me
"Evison, Jonathan",Lawn Boy,Fort Mill,South Carolina,yes,,Formal Challenge Filed,Temporary Ban,Pending Review Process,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Harlem School District 122,Illinois,n/a,,Formal Challenge Filed,RETAINED,,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Hudson,OH,yes,Returned to shelves 1/22,Formal Challenge Filed,Temp Ban - back on shelves,Removed while under review,,violation of policy,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Moore County Schools,North Carolina,,Decision coming 3/2022,Formal Challenge Filed,unclear if removed from shelves during challenge,Board Members plan to review books in next work session,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Novi Community School District,Michigan,,1/2022,Formal Challenge Filed,Retained with restrictions,Grade 11 and 12 only,,,,,,,,Lawn Boy
"Evison, Jonthan",Lawn Boy,Plano,Texas,n/a,"""Vulgar"" ""Explicit sexuality"" ""Encouragement of profanity, ponography, gambling, homosexuality ... """,Formal Challenge Filed,Challenged - Prob on Shelves,Unclear,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Regional School Unit 40,Maine,na,2nd challenge - retained after 1st in October 2021,Formal Challenge Filed,Already Challenged in 2021 - retained,,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Wake County,North Carolina,n/a,,Formal Challenge Filed,Retained,criminal complaints filed against school district,,,,,,,,Lawn Boy
"Evison, JOnathan ",Lawn Boy,Adams 12 Five Star Schools,Colorado,n/a,,Informal Challenge,,During public comment - board meeting,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Goddard,Kansas,yes,"removed while under review - against published policy after pushback, returned to shelves while policies under review",Informal Challenge,Challenged - Prob on Shelves,11/21 - Returneed to shelves while reviewing book challenge policies,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Hillsborough,Florida,n/a,,Informal Challenge,Complaints only in board meeting,,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Jefferson County Public Schools,Kentucky,n/a,,Informal Challenge,in a board meeting,,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Osceola,Florida,,,Informal Challenge,Probably on shelves,"10/20/21- Parents complained to the SB, but were told to file an official challenge",,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Radnor Township Schools,Pennsylvania,n/a,,Informal Challenge,Challenge in board meeting,October 2021,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,University Schools Middle and High School Libraries (Charter School),Colorado,n/a,,Informal Challenge,unclear,,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Canyons School District,Utah,yes,parent emailed complaint - books pulled,no,Removed While Under Review,violation of policy,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,North Hunterton,New Jersey,yes,,no,Retained,Retained in school 1/2022,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Tyler ISD,Texas,,Superintendent started district conversation after Krause/Abbott press statements in Fall 2021,no,,Removed,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Bastrop,Texas,not applicable,,No Challenge Filed,n/a,Never in libraries - mistaken identity,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Collier County Public Schools,Florida,TBD,FLCA,No Challenge Filed,Parental Advisory label added in Feb 2022,January 2022,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Cypress-Fairbanks,Texas,n/a,1/2022,No Challenge Filed,Retained,Saw it was happening at other districts,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,North East,Texas,yes,NEISD Folder,No Challenge Filed,Removed,,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,North Penn High School,Pennslyvania,yes,"""Critical Race Theory""",No Challenge Filed,Removed While Under Review,Was at Middle school,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Katy,Texas,yes,Books that have been banned in texas,unclear,Banned,"Permanently Removed for containing ""pervasively vulgar content""",BY decision of Superintendent,BANNED - Master Katy List 10/2021 by board,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Waukee,Iowa,yes,,unclear,Removed,,,,,,,,,Lawn Boy
"Evison, Jonathan",LAWN BOY,Wayzeta Public Schools,Minnesota,yes,,unclear,removed,Removed in violation of policy,,,,,,,,Lawn Boy
"Evison, Jonthan",Lawn Boy,Billings Public Schools,Montana,not applicable,"""explicit sexual descriptions""",yes,Retained,Challenged; Retained; Appealed; Retained,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Fairfax County,Virginia,yes,Back on shelves 11/21,yes,Retained,Removed pending challenge in violation of district policy,,violation of district policy,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Lamar Consolidated ISD,Texas,yes,newspaper had to do an open records request to get the book list,yes,Removed,Pulled from shelves,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Leander,Texas,,20.21 Leander Curr Review RESULTs for 21.22,yes,Partial Ban,Restricted to Grade 11/12 Classroom Libraries and High School Libraries,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,McKinney,Texas,,2/15/22,Yes,Challenged - Pending,Watch to see if they stay on shelves or not - 2/22,,,,,,HS,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Orange County,Florida,yes,,yes,RESTRICTED,10/28/21 removed from Boone High School; 2/15/22 Literacy Council votes to keep at Boone; District Review votes to keep with age restriction of 17+,,17+ only,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Orange County Schools,North Carolina,,"""sexualized curriculum"" called out by N Carolina Lt Gov",yes,retained,removed while under review in october - RETAINED by 1/2022,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Prosper ISD,Texas,,,yes,Banned,Removed before complaint,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Rockwood,Missouri,,,yes,Retained,Remain in library w/out restriction,CHALLENGED TO BOARD - Appeal process upheld committee decision,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Urbandale Community School District,Iowa,,,yes,retained,Instructional Materials Reconsideration Committee voted to keep 12.14.21,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Wentzville,Missouri,yes,returned to shelves,yes,removed,removed while under review,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Yorktown Central School District,New York,n/a,,yes,RETAINED,Books were taken from the MS and HS for members of the committee to read - but were not made unavailable.,,MESMS Library,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,Virginia Beach,Virginia,,displays pedophilia in a scene with an adult and 10-year-old boy touching each others genitals and performing oral sex,yes - grom board member,Temporary Ban,,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,McLean County Unit District No. 5,Illinois,,,,,Complaint raised in public comment - but community was prepared to speak out.,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,North East,Texas,yes,,,,Removed from shelves for review on basis of Rep Krause letter,,,,,2018,4,,Lawn Boy
"Evison, Jonathan",Lawn Boy,St. Louis Region Schools,Missouri,,,,,,,,,,,,,Lawn Boy
"Evison, Jonathan",Lawn Boy,York,Pennslyvania,,,,,,,,,,,,,Lawn Boy
"Albertalli, Becky",Leah on the Off Beat,Nampa School District,Idaho,yes,committee said was okay to say,Informal Challenge,banned,,,,,,,,,Leah on the Offbeat
"Albertalli, Becky",Leah on the Offbeat,Eanes,Texas,no,Middle School,Formal Challenge Filed,In process,,,,,,,,,Leah on the Offbeat
"Albertalli, Becky",Leah on the Offbeat,Eanes,Texas,no,High School,Formal Challenge Filed,In process,,,,,,,,,Leah on the Offbeat
,Leah on the Offbeat,Littlestown Area School District,Pennsylvania,n/a,,Formal Challenge Filed,Committee recommends no change and all resources/books should remain in the library,,,,,,,,,Leah on the Offbeat
"Albertalli, Becky",Leah on the Offbeat,Murray City School District,Utah,,11/2021 sent note to school?,Informal Challenge,n/a,"School wanted individual complaints per book - no response from parent, online ""outrage""",,Murray High,,,,,,Leah on the Offbeat
"Albertalli, Becky",Leah on the Offbeat,Indian River County Schools,Florida,,,unclear,RETURNED - FL as 5/2022,Temporarily removed while under review,,,,,,,,Leah on the Offbeat
"Albertalli, Becky",Leah on the Offbeat (Simonverse Series),Tennessee,Collierville Schools,Yes,THREE,no challenge,back on shelves probably,,,,,,,,,Leah on the Offbeat (Simonverse Series)
